,109,110,112,109,,,,,,,,,,,,,,,100000,100
Price,"""too cheap""","""cheap""","""expensive""","""too expensive""",,"""too cheap""
cumulative","""too cheap""
(%)","""cheap""
cumulative","""cheap""
(%)","""expensive""
cumulated","""expensive""
(%)","""too expensive""
cumulated","""too expensive""
(%)",,"""not cheap""
(%)","""not expensive""
(%)",,"""price ok""",Revenue,Margin
239,0,0,0,1,,23,0.21100917431192662,77,0.7,8,0.07142857142857142,4,0.03669724770642202,,0.30000000000000004,0.9285714285714286,,0.7522935779816513,17979816.513761465,10456880.733944952
240,0,1,1,0,,23,0.21100917431192662,76,0.6909090909090909,9,0.08035714285714286,4,0.03669724770642202,,0.3090909090909091,0.9196428571428571,,0.7522935779816513,18055045.87155963,10532110.091743119
249,2,6,3,1,,23,0.21100917431192662,70,0.6363636363636364,12,0.10714285714285714,5,0.045871559633027525,,0.36363636363636365,0.8928571428571429,,0.7431192660550459,18503669.724770643,11072477.064220183
250,5,16,7,1,,21,0.1926605504587156,54,0.4909090909090909,19,0.16964285714285715,6,0.05504587155963303,,0.509090909090909,0.8303571428571428,,0.7522935779816514,18807339.449541286,11284403.669724772
259,0,0,2,0,,16,0.14678899082568808,54,0.4909090909090909,21,0.1875,6,0.05504587155963303,,0.509090909090909,0.8125,,0.7981651376146789,20672477.064220183,12690825.688073395
260,0,0,0,1,,16,0.14678899082568808,54,0.4909090909090909,21,0.1875,7,0.06422018348623854,,0.509090909090909,0.8125,,0.7889908256880733,20513761.467889905,12623853.211009173
266,1,0,0,0,,16,0.14678899082568808,54,0.4909090909090909,21,0.1875,7,0.06422018348623854,,0.509090909090909,0.8125,,0.7889908256880733,20987155.96330275,13097247.706422018
280,0,1,0,1,,15,0.13761467889908258,53,0.4818181818181818,21,0.1875,8,0.07339449541284404,,0.5181818181818182,0.8125,,0.7889908256880733,22091743.11926605,14201834.86238532
289,0,1,0,0,,15,0.13761467889908258,52,0.4727272727272727,21,0.1875,8,0.07339449541284404,,0.5272727272727273,0.8125,,0.7889908256880733,22801834.862385318,14911926.605504585
290,1,2,0,0,,15,0.13761467889908258,50,0.45454545454545453,21,0.1875,8,0.07339449541284404,,0.5454545454545454,0.8125,,0.7889908256880733,22880733.944954127,14990825.688073393
299,7,13,11,4,,14,0.12844036697247707,37,0.33636363636363636,32,0.2857142857142857,12,0.11009174311926606,,0.6636363636363636,0.7142857142857143,,0.7614678899082569,22767889.90825688,15153211.009174312
300,5,16,12,8,,7,0.06422018348623854,21,0.19090909090909092,44,0.39285714285714285,20,0.1834862385321101,,0.8090909090909091,0.6071428571428572,,0.7522935779816513,22568807.33944954,15045871.559633026
301,0,0,0,1,,2,0.01834862385321101,21,0.19090909090909092,44,0.39285714285714285,21,0.1926605504587156,,0.8090909090909091,0.6071428571428572,,0.7889908256880733,23748623.853211008,15858715.596330274
320,0,1,2,0,,2,0.01834862385321101,20,0.18181818181818182,46,0.4107142857142857,21,0.1926605504587156,,0.8181818181818181,0.5892857142857143,,0.7889908256880733,25247706.422018345,17357798.165137615
